correct/anomalous;ra;dec;parallax;pmra;pmdec;astrometric_excess_noise;ruwe;phot_g_mean_mag;phot_bp_rp_excess_factor;bp_rp
1;219.7408199207831;-61.06972310266475;-1.028519508338459;-6.7723202507529745;-5.505668858758673;2.4038908;1.1462158;20.001472;2.1901064;3.137764
1;219.74446681605323;-61.0693826409215;;;;7.762312;;21.038607;;
1;219.7463252322325;-61.068705283949555;0.5349026366751087;-6.550049298350798;-3.7219305748538987;1.2628323;1.0300765;20.07306;1.5421046;2.6936512
1;219.72926373682594;-61.07037652040039;0.6879361753445508;-4.164821037248495;-0.2757719273432625;0.0;0.9753462;19.309855;1.1610063;1.8851337
1;219.7259606833704;-61.07064555091334;0.36919003494876934;-2.839842672758084;-2.559324878523169;0.53347874;1.0842462;18.64662;1.2728432;2.0568333
1;219.7367656857079;-61.06902152581109;0.6774837750622147;-9.099032764074511;-2.8684342359032287;0.23016435;1.0177916;19.514519;1.3693404;2.0111504
1;219.7408646085107;-61.06764445332064;;;;3.0230496;;20.945412;;
1;219.72633225510677;-61.0687120476289;0.1369203694814929;-6.920033377998827;-3.5917479609056833;0.0;1.0053964;19.06045;1.6457883;2.5504875
1;219.730590420546;-61.06796544873964;0.9496465407127996;-12.369346733587172;-13.258093239642342;0.6331224;0.998873;20.23646;1.5404277;2.4425583
1;219.7426027639592;-61.06603386041471;0.3784513796809996;-5.1135379634014395;-3.710073558326857;0.065917745;1.0123928;18.69477;1.2802566;1.8029613
1;219.73297188149388;-61.06696160974682;0.8393976449830454;-3.4240381235606416;-3.151665079894992;0.0;1.0022278;19.438448;1.2896723;2.19273
1;219.74422473934214;-61.06516089563728;0.5851343760948764;-5.959822801888207;-3.457299906594109;0.0;0.9909968;18.9453;1.4813019;1.8344097
1;219.73649314332283;-61.06502426944981;0.8103401840597421;-9.364464153821965;-4.020464152251231;0.0;0.91830176;19.734282;1.7118523;2.5201912
1;219.7373694746881;-61.06473166474956;-0.7579582678071644;-6.073051136209814;-3.9696372316093482;1.170256;1.0387806;20.209942;;
1;219.73292262961508;-61.06478725628941;0.2136903001631764;-7.178192080534043;-3.2312857094642715;0.61885804;1.013628;19.171227;1.3440607;2.4016705
1;219.74249393369288;-61.0635106602405;1.0001684772495927;-4.493148894572319;-5.920049062438087;0.8840791;1.0090773;20.011827;;
1;219.73929259103818;-61.063596628391736;0.3919093938187207;-8.73957073600506;-4.225807041473308;0.0;0.9921617;19.517366;1.23228;2.1221218
1;219.73626578694393;-61.063945949362605;0.23497064528983344;-7.468709463167897;-4.2085521136838295;1.1395729;1.0494113;19.888752;;
